id;name;city;country;iata;icao;tz
6137;Gera-Leumnitz Airfield;Gera;Germany;NULL;EDAJ;Europe/Berlin
6138;Kasimovo Airfield;Saint-Petersburg;Russia;NULL;XLLN;Europe/Moscow
6139;Terlet Glider Field;Arnhem;Netherlands;NULL;EHTL;Europe/Amsterdam
6140;Shigatse Air Base;Shigatse;China;RKZ;ZURK;Asia/Shanghai
6141;Redlands Municipal Airport;Redlands;United States;NULL;KREI;America/Los_Angeles
6142;Flabob Airport;Riverside;United States;NULL;KRIR;America/Los_Angeles
6143;Tacoma Narrows Airport;Tacoma;United States;TIW;KTIW;America/Los_Angeles
6144;Oerlinghausen Airport;TELGTE;Germany;NULL;EDLO;Europe/Berlin
6145;Jack Edwards Airport;Gulf Shores;United States;GUF;KJKA;America/Chicago
6146;General Villamil Airport;Isabela;Ecuador;IBB;SEII;Pacific/Galapagos
6147;Balzers Heliport;Balzers;Switzerland;NULL;LSXB;Europe/Vaduz
6148;Flugplatz Punitz;Punitz-Guessing;Austria;NULL;LOGG;Europe/Vienna
6149;Khmelnytskyi Airport;Khmeinitskiy;Ukraine;HMJ;UKLH;Europe/Kiev
6150;Hiroshimanishi Airport;Hiroshima;Japan;HIW;RJBH;Asia/Tokyo
6151;Yalata Mission Airport;Yalata;Australia;KYI;YYTA;Australia/Adelaide
6152;Hazleton Municipal Airport;Hazleton;United States;HZL;KHZL;America/New_York
6153;Greater Cumberland Regional Airport;Cumberland;United States;CBE;KCBE;America/New_York
6155;Wyndham Airport;Wyndham;Australia;WYN;YWYM;Australia/Perth
6156;Bob Quinn Lake Airport;Bob Quinn Lake;Canada;YBO;CBW4;America/Vancouver
6157;Msembe Airport;Msembe;Tanzania;NULL;HTMR;Africa/Dar_es_Salaam
6158;Grabtsevo Airport;Kaluga;Russia;KLF;UUBC;Europe/Moscow
6159;Tri-County Regional Airport;Lone Rock;United States;LNR;KLNR;America/Chicago
6160;Price County Airport;Phillips;United States;NULL;KPBH;America/Chicago
6161;Monroe Municipal Airport;Monroe;United States;NULL;KEFT;America/Chicago
6162;Joliet Regional Airport;Joliet;United States;JOT;KJOT;America/Chicago
6163;Illinois Valley Regional Airport-Walter A Duncan Field;Peru;United States;VYS;KVYS;America/Chicago
6164;Jackson County Reynolds Field;Jackson;United States;JXN;KJXN;America/New_York
6165;Fuerstenwalde Airport;Furstenwalde;Germany;NULL;EDAL;Europe/Berlin
6166;Eberswalde-Finow Airport;Eberswalde;Germany;NULL;EDAV;Europe/Berlin
6167;Joseph A. Hardy Connellsville Airport;Connellsville;United States;NULL;KVVS;America/New_York
6168;Bedford County Airport;Bedford;United States;NULL;KHMZ;America/New_York
6169;Wings Field;Philadelphia;United States;BBX;KLOM;America/New_York
6170;Okeechobee County Airport;Okeechobee;United States;OBE;KOBE;America/New_York
6171;Sebring Regional Airport;Sebring;United States;SEF;KSEF;America/New_York
6172;Avon Park Executive Airport;Avon Park;United States;AVO;KAVO;America/New_York
6173;Winter Haven Regional Airport - Gilbert Field;Winter Haven;United States;GIF;KGIF;America/New_York
6174;Zephyrhills Municipal Airport;Zephyrhills;United States;ZPH;KZPH;America/New_York
6175;Ocala International Airport - Jim Taylor Field;Ocala;United States;OCF;KOCF;America/New_York
6176;Jesup Wayne County Airport;Jesup;United States;NULL;KJES;America/New_York
6177;Madison Municipal Airport;Madison;United States;NULL;K52A;America/New_York
6178;Newnan Coweta County Airport;Newnan;United States;NULL;KCCO;America/New_York
6179;Thomson-McDuffie County Airport;Thomson;United States;NULL;KHQU;America/New_York
6180;Aiken Regional Airport;Aiken;United States;AIK;KAIK;America/New_York
6181;Woodward Field;Camden;United States;CDN;KCDN;America/New_York
6182;Lumberton Regional Airport;Lumberton;United States;LBT;KLBT;America/New_York
6183;Moore County Airport;Pinehurst-Southern Pines;United States;SOP;KSOP;America/New_York
6184;Richmond County Airport;Rockingham;United States;NULL;KRCZ;America/New_York
6185;Baraboo Wisconsin Dells Airport;Baraboo;United States;NULL;KDLL;America/Chicago
6186;Statesville Regional Airport;Statesville;United States;SVH;KSVH;America/New_York
6187;Burlington Municipal Airport;Burlington;United States;NULL;KBUU;America/Chicago
6188;William T. Piper Memorial Airport;Lock Haven;United States;LHV;KLHV;America/New_York
6189;Zelienople Municipal Airport;Zelienople;United States;NULL;KPJC;America/New_York
6190;Lorain County Regional Airport;Lorain-Elyria;United States;NULL;KLPR;America/New_York
6191;Burke Lakefront Airport;Cleveland;United States;BKL;KBKL;America/New_York
6192;Chautauqua County-Dunkirk Airport;Dunkirk;United States;DKK;KDKK;America/New_York
6193;South Jersey Regional Airport;Mount Holly;United States;LLY;KVAY;America/New_York
6194;Linden Airport;Linden;United States;LDJ;KLDJ;America/New_York
6195;Tri State Steuben County Airport;Angola;United States;ANQ;KANQ;America/New_York
6196;Warsaw Municipal Airport;Warsaw;United States;NULL;KASW;America/New_York
6197;Van Wert County Airport;Van Wert;United States;NULL;KVNW;America/New_York
6198;Brooks Field;Marshall;United States;NULL;KRMY;America/New_York
6199;Genesee County Airport;Batavia;United States;NULL;KGVQ;America/New_York
6200;Clearwater Air Park;Clearwater;United States;CLW;KCLW;America/New_York
6201;Orlampa Inc Airport;Forties Alpha;United Kingdom;NULL;FA08;America/New_York
6202;Chicago Meigs Airport;Chicago;United States;CGX;KCGX;America/Chicago
6203;Pickens County Airport;Jasper;United States;NULL;KJZP;America/New_York
6204;Saarmund Airport;Saarmund;Germany;NULL;EDCS;Europe/Berlin
6205;Grand Strand Airport;North Myrtle Beach;United States;CRE;KCRE;America/New_York
6206;Lansing Municipal Airport;Lansing;United States;NULL;KIGQ;America/Chicago
6207;Ramona Airport;Ramona;United States;NULL;KRNM;America/Los_Angeles
6208;Pont Sur Yonne Airfield;Pont Sur Yonne;France;NULL;LFGO;Europe/Paris
6209;St Florentin Cheu Airfield;St Florentin Cheu;France;NULL;LFGP;Europe/Paris
6210;Saulieu Liernais Airfield;Saulieu;France;NULL;LFEW;Europe/Paris
6211;Olten Airport;Olten;Switzerland;NULL;LSPO;Europe/Zurich
6212;Buochs Airport;Buochs;Switzerland;BXO;LSZC;Europe/Zurich
6213;Ambri Airport;Quinto;Switzerland;NULL;LSPM;Europe/Zurich
6214;Lodrino Air Base;Lodrino;Switzerland;NULL;LSML;Europe/Zurich
6215;Roudnice Airport;Roudnice nad Lebem;Czech Republic;NULL;LKRO;Europe/Prague
